,fold,loss
191,38,0.9109488927306187
192,38,
193,38,0.7109778110404924
194,38,0.6310813823367049
195,39,0.7687796315755876
196,39,0.9234418464954514
197,39,
198,39,0.7012910091722466
199,39,0.6046509563744179
200,40,0.7040938032717652
201,40,0.8731177994650721
202,40,
203,40,0.7057487943145675
204,40,0.6295426710500334
205,41,0.7629161411992691
206,41,0.8442068956365887
207,41,
208,41,0.7089548593172819
209,41,0.6219223726699671
210,42,0.6940057292736903
211,42,0.8408664744033142
212,42,
213,42,0.6931729531216604
214,42,0.5972447137579991
215,43,0.726128432270961
216,43,0.7766898624994057
217,43,
218,43,0.690104183142978
219,43,0.6515088177461044
220,44,0.6864499308512192
221,44,0.7767655442946748
222,44,
223,44,0.6905216550437748
224,44,0.5843861433554962
225,45,0.7135168805569212
226,45,0.7475396417939364
227,45,
228,45,0.6773098475832731
229,45,0.5975852434415316
230,46,0.6830759514016329
231,46,0.7153235747049573
232,46,
233,46,0.6703544489782656
234,46,0.5813435618485884
235,47,0.6906946248667779
236,47,0.72538138848655
237,47,
238,47,0.6611186742292142
239,47,0.5767885078776523
240,48,0.667696268940998
241,48,0.7340834934179671
242,48,
243,48,0.6564906471302098
244,48,0.5813874525103037
245,49,0.6832663946568702
246,49,0.6773588268295251
247,49,
248,49,0.6573349783685646
249,49,0.5619517174068082
250,50,0.6610805367801861
251,50,0.6647868785770283
252,50,
253,50,0.6701996690985622
254,50,0.5700428421712511
255,51,0.6702820192910973
256,51,0.704834624121859
257,51,
258,51,0.6938796004769909
259,51,0.5496085624442787
260,52,0.6559455863550919
261,52,0.6633055327818619
262,52,
263,52,0.6414200888269767
264,52,0.5562377320747277
265,53,0.6651531986173944
266,53,0.6285491741978531
267,53,
268,53,0.7399690724549927
269,53,0.5397644179198415
270,54,0.6569801649943109
271,54,0.6637133371603071
272,54,
273,54,0.7131979170585702
274,54,0.5396677670659189
275,55,0.6485986271832344
276,55,0.6645646995222235
277,55,
278,55,0.6794085235822972
279,55,0.5327614397515288
280,56,0.6478192592669567
281,56,0.6204284611672752
282,56,
283,56,0.6866712004512251
284,56,0.5167414972164973
285,57,0.6332255080360902
286,57,0.6293532070467046
287,57,
288,57,0.6273101047117403
289,57,0.5126951667482076
290,58,0.6414183885091143
291,58,0.6335435392850716
292,58,
293,58,0.6584993022595265
294,58,0.5227256859376701
295,59,0.6251821062807382
296,59,0.5874218692032017
297,59,
298,59,0.6261998702046775
299,59,0.5412311547081464
300,60,0.6341801069146651
301,60,0.5803462831682468
302,60,
303,60,0.6491089024256746
304,60,0.5057132864868977
305,61,0.6305156486579507
306,61,0.5894332542953057
307,61,
308,61,0.6134988473910898
309,61,0.4800004881911962
310,62,0.6154399161383918
311,62,0.593698815796379
312,62,
313,62,0.6305102259965231
314,62,0.4886110531780788
